	Kingdom	Phylum	Class	Order	Family	Genus	Species
Klebsiella.michiganensis	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella.michiganensis
Clostridium sensu stricto 1.baratii	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1.baratii
[Eubacterium] nodatum group.sulci	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] nodatum group	[Eubacterium] nodatum group.sulci
Collinsella.tanakaei	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella.tanakaei
Robinsoniella.peoriensis	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Robinsoniella	Robinsoniella.peoriensis
Allisonella.unclassified	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Allisonella	Allisonella.unclassified
Stomatobaculum.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Stomatobaculum	Stomatobaculum.unclassified
Parasutterella.secunda	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	Parasutterella.secunda
Bacteroides.fragilis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.fragilis
Parabacteroides.gordonii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides.gordonii
Mogibacterium.pumilum	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Mogibacterium	Mogibacterium.pumilum
Olsenella.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella.unclassified
Denitrobacterium.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Denitrobacterium	Denitrobacterium.unclassified
Bacteroides.gallinaceum	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.gallinaceum
Weissella.viridescens	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella.viridescens
Actinomyces.unclassified	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces.unclassified
UCG-002.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	UCG-002.unclassified
Dialister.pneumosintes	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	Dialister.pneumosintes
Prevotella_9.copri	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	Prevotella_9.copri
Bacteroides.coprocola	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.coprocola
Bifidobacterium.angulatum	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium.angulatum
uc_f_Victivallaceae.unclassified	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	uc_f_Victivallaceae	uc_f_Victivallaceae.unclassified
Intestinibacter.bartlettii	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Intestinibacter	Intestinibacter.bartlettii
Lachnospiraceae UCG-007.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-007	Lachnospiraceae UCG-007.unclassified
uc_p_Firmicutes.unclassified	Bacteria	Firmicutes	unclassified	unclassified	unclassified	uc_p_Firmicutes	uc_p_Firmicutes.unclassified
Solobacterium.unclassified	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium.unclassified
Alistipes.onderdonkii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes.onderdonkii
[Eubacterium] brachy group.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group	[Eubacterium] brachy group.unclassified
Fusobacterium.varium	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium.varium
Coprobacter.secundus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Coprobacter.secundus
Bacteroides.rodentium	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.rodentium
uc_f_Lachnospiraceae.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uc_f_Lachnospiraceae	uc_f_Lachnospiraceae.unclassified
Citrobacter.koseri	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter.koseri
[Eubacterium] eligens group.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] eligens group	[Eubacterium] eligens group.unclassified
Lachnospiraceae FE2018 group.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae FE2018 group	Lachnospiraceae FE2018 group.unclassified
Aggregatibacter.unclassified	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Aggregatibacter	Aggregatibacter.unclassified
Hungatella.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	Hungatella.unclassified
Bifidobacterium.animalis	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium.animalis
Coprococcus.catus	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus.catus
Oxalobacter.unclassified	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	Oxalobacter.unclassified
Prevotella.intermedia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella.intermedia
Escherichia-Shigella.marmotae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia-Shigella.marmotae
Staphylococcus.equorum	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus.equorum
Streptococcus.parasanguinis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.parasanguinis
Enterococcus.sulfureus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus.sulfureus
Campylobacter.curvus	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter.curvus
Fusobacterium.perfoetens	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium.perfoetens
Fusobacterium.gonidiaformans	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium.gonidiaformans
Veillonella.ratti	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Veillonella.ratti
Fusobacterium.mortiferum	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium.mortiferum
Bifidobacterium.catenulatum	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium.catenulatum
Romboutsia.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	Romboutsia.unclassified
Intestinibacter.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Intestinibacter	Intestinibacter.unclassified
Cuneatibacter.caecimuris	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Cuneatibacter	Cuneatibacter.caecimuris
Streptococcus.constellatus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.constellatus
Anaerococcus.vaginalis	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	Anaerococcus.vaginalis
Bacteroides.cellulosilyticus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.cellulosilyticus
Monoglobus.pectinilyticus	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	Monoglobus.pectinilyticus
