	Kingdom	Phylum	Class	Order	Family	Genus	Species
Faecalibacterium.prausnitzii	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium.prausnitzii
uc_o_Coriobacteriales.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	unclassified	uc_o_Coriobacteriales	uc_o_Coriobacteriales.unclassified
Odoribacter.laneus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter.laneus
uc_f_[Eubacterium] coprostanoligenes group.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	uc_f_[Eubacterium] coprostanoligenes group	uc_f_[Eubacterium] coprostanoligenes group.unclassified
Anaerotruncus.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus.unclassified
uc_f_Leptotrichiaceae.unclassified	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	uc_f_Leptotrichiaceae	uc_f_Leptotrichiaceae.unclassified
[Ruminococcus] torques group.lactaris	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] torques group	[Ruminococcus] torques group.lactaris
Campylobacter.unclassified	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter.unclassified
Collinsella.stercoris	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella.stercoris
Latilactobacillus.unclassified	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus.unclassified
Lachnospiraceae UCG-009.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-009	Lachnospiraceae UCG-009.unclassified
Victivallis.vadensis	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	Victivallis.vadensis
Fusobacterium.hwasookii	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium.hwasookii
uc_f_Christensenellaceae.unclassified	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	uc_f_Christensenellaceae	uc_f_Christensenellaceae.unclassified
Anaerotruncus.colihominis	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus.colihominis
Intestinimonas.butyriciproducens	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas.butyriciproducens
Sneathia.sanguinegens	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia.sanguinegens
Catenibacterium.unclassified	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Catenibacterium	Catenibacterium.unclassified
UCG-009.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	UCG-009	UCG-009.unclassified
Fastidiosipila.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Fastidiosipila	Fastidiosipila.unclassified
Butyricicoccus.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	Butyricicoccus.unclassified
Bacteroides.salanitronis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.salanitronis
Campylobacter.ureolyticus	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter.ureolyticus
Anaerostignum.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostignum	Anaerostignum.unclassified
[Eubacterium] ventriosum group.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ventriosum group	[Eubacterium] ventriosum group.unclassified
Ruminococcus.champanellensis	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Ruminococcus.champanellensis
Streptomyces.pratensis	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces.pratensis
Coriobacteriaceae UCG-003.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Coriobacteriaceae UCG-003	Coriobacteriaceae UCG-003.unclassified
Incertae Sedis.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	Incertae Sedis.unclassified
Peptostreptococcus.anaerobius	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus.anaerobius
Actinomyces.pacaensis	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces.pacaensis
Alistipes.shahii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes.shahii
Anaerosporobacter.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosporobacter	Anaerosporobacter.unclassified
Lactobacillus.delbrueckii	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus.delbrueckii
Holdemania.unclassified	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania.unclassified
Gemella.unclassified	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	Gemella.unclassified
Gordonibacter.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Gordonibacter	Gordonibacter.unclassified
Megasphaera.stantonii	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera.stantonii
Paraclostridium.bifermentans	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Paraclostridium	Paraclostridium.bifermentans
Fournierella.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Fournierella	Fournierella.unclassified
Enterococcus.unclassified	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus.unclassified
Eubacterium.callanderi	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium.callanderi
Klebsiella.unclassified	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella.unclassified
uc_c_Bacteroidia.unclassified	Bacteria	Bacteroidota	Bacteroidia	unclassified	unclassified	uc_c_Bacteroidia	uc_c_Bacteroidia.unclassified
Succinivibrio.unclassified	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio	Succinivibrio.unclassified
Dielma.fastidiosa	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dielma	Dielma.fastidiosa
Monoglobus.unclassified	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	Monoglobus.unclassified
Parabacteroides.faecis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides.faecis
Christensenella.unclassified	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenella	Christensenella.unclassified
Lachnospiraceae UCG-001.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-001	Lachnospiraceae UCG-001.unclassified
Desulfitibacter.unclassified	Bacteria	Firmicutes	Moorellia	Desulfitibacterales	Desulfitibacteraceae	Desulfitibacter	Desulfitibacter.unclassified
Roseburia.hominis	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia.hominis
Escherichia-Shigella.coli	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia-Shigella.coli
Romboutsia.ilealis	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	Romboutsia.ilealis
Selenomonas.sputigena	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas.sputigena
Succinivibrio.dextrinosolvens	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio	Succinivibrio.dextrinosolvens
Prevotella.oris	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella.oris
Bifidobacterium.unclassified	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium.unclassified
Lactobacillus.acidophilus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus.acidophilus
uc_f_[Clostridium] methylpentosum group.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Clostridium] methylpentosum group	uc_f_[Clostridium] methylpentosum group	uc_f_[Clostridium] methylpentosum group.unclassified
Brevibacterium.iodinum	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium.iodinum
Streptococcus.intermedius	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.intermedius
Ruminiclostridium.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Ruminiclostridium	Ruminiclostridium.unclassified
CHKCI002.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CHKCI002	CHKCI002.unclassified
Merdibacter.unclassified	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Merdibacter	Merdibacter.unclassified
Anaerococcus.lactolyticus	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	Anaerococcus.lactolyticus
Epulopiscium.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Epulopiscium	Epulopiscium.unclassified
Sedimentibacter.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Sedimentibacteraceae	Sedimentibacter	Sedimentibacter.unclassified
UC5-1-2E3.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UC5-1-2E3	UC5-1-2E3.unclassified
Shuttleworthia.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Shuttleworthia	Shuttleworthia.unclassified
Cloacibacillus.unclassified	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	Cloacibacillus.unclassified
uc_f_Hydrogenoanaerobacterium.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hydrogenoanaerobacterium	uc_f_Hydrogenoanaerobacterium	uc_f_Hydrogenoanaerobacterium.unclassified
Sutterella.unclassified	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella.unclassified
Sutterella.parvirubra	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella.parvirubra
Candidatus Soleaferrea.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea	Candidatus Soleaferrea.unclassified
Methanobrevibacter.smithii	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter.smithii
Lachnospiraceae NK4B4 group.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4B4 group	Lachnospiraceae NK4B4 group.unclassified
Megamonas.unclassified	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Megamonas	Megamonas.unclassified
Blautia.hydrogenotrophica	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia.hydrogenotrophica
Roseburia.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia.unclassified
Brachyspira.pilosicoli	Bacteria	Spirochaetota	Brachyspirae	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira.pilosicoli
uc_o_Rhodospirillales.unclassified	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	unclassified	uc_o_Rhodospirillales	uc_o_Rhodospirillales.unclassified
uc_f_Anaerovoracaceae.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	uc_f_Anaerovoracaceae	uc_f_Anaerovoracaceae.unclassified
Pygmaiobacter.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Pygmaiobacter	Pygmaiobacter.unclassified
Bacteroides.acidifaciens	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.acidifaciens
Oribacterium.asaccharolyticum	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium	Oribacterium.asaccharolyticum
[Eubacterium] nodatum group.infirmum	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] nodatum group	[Eubacterium] nodatum group.infirmum
Lachnospiraceae UCG-004.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-004	Lachnospiraceae UCG-004.unclassified
[Eubacterium] xylanophilum group.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group.unclassified
Scardovia.wiggsiae	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia	Scardovia.wiggsiae
Intestinimonas.timonensis	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas.timonensis
Pyramidobacter.unclassified	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Pyramidobacter	Pyramidobacter.unclassified
uc_f_Erysipelatoclostridiaceae.unclassified	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	uc_f_Erysipelatoclostridiaceae	uc_f_Erysipelatoclostridiaceae.unclassified
Phascolarctobacterium.faecium	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium.faecium
Clostridium sensu stricto 1.septicum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1.septicum
Streptococcus.gordonii	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.gordonii
Ruminococcus.bromii	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Ruminococcus.bromii
Enterococcus.faecium	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus.faecium
uc_f_Syntrophomonadaceae.unclassified	Bacteria	Firmicutes	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	uc_f_Syntrophomonadaceae	uc_f_Syntrophomonadaceae.unclassified
[Eubacterium] brachy group.brachy	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group	[Eubacterium] brachy group.brachy
uc_f_Ethanoligenenaceae.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ethanoligenenaceae	uc_f_Ethanoligenenaceae	uc_f_Ethanoligenenaceae.unclassified
uc_f_Enterobacteriaceae.unclassified	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	uc_f_Enterobacteriaceae	uc_f_Enterobacteriaceae.unclassified
Parabacteroides.distasonis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides.distasonis
Streptococcus.unclassified	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.unclassified
Lachnospiraceae NK4A136 group.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	Lachnospiraceae NK4A136 group.unclassified
uc_c_Bacilli.unclassified	Bacteria	Firmicutes	Bacilli	unclassified	unclassified	uc_c_Bacilli	uc_c_Bacilli.unclassified
Odoribacter.splanchnicus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter.splanchnicus
Slackia.piriformis	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	Slackia.piriformis
Parabacteroides.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides.unclassified
Prevotellaceae Ga6A1 group.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae Ga6A1 group	Prevotellaceae Ga6A1 group.unclassified
Alistipes.finegoldii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes.finegoldii
Brochothrix.thermosphacta	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Brochothrix	Brochothrix.thermosphacta
Fenollaria.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Fenollaria	Fenollaria.unclassified
Defluviitaleaceae UCG-011.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae UCG-011	Defluviitaleaceae UCG-011.unclassified
Clostridium sensu stricto 1.celatum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1.celatum
Pseudoflavonifractor.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Pseudoflavonifractor	Pseudoflavonifractor.unclassified
Bifidobacterium.pullorum	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium.pullorum
Fusicatenibacter.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter.unclassified
Alistipes.obesi	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes.obesi
Cloacibacillus.evryensis	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	Cloacibacillus.evryensis
Alloprevotella.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella.unclassified
Aeriscardovia.unclassified	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Aeriscardovia	Aeriscardovia.unclassified
Barnesiella.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella.unclassified
uc_o_Clostridia vadinBB60 group.unclassified	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	unclassified	uc_o_Clostridia vadinBB60 group	uc_o_Clostridia vadinBB60 group.unclassified
[Anaerorhabdus] furcosa group.unclassified	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Anaerorhabdus] furcosa group	[Anaerorhabdus] furcosa group.unclassified
Amnipila.unclassified	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Amnipila	Amnipila.unclassified
Methanosarcina.mazei	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosarcinaceae	Methanosarcina	Methanosarcina.mazei
Lachnospiraceae UCG-010.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-010	Lachnospiraceae UCG-010.unclassified
Pediococcus.pentosaceus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus.pentosaceus
CAG-873.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873.unclassified
Lacticaseibacillus.unclassified	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus.unclassified
Odoribacter.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter.unclassified
NK4A214 group.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NK4A214 group	NK4A214 group.unclassified
Alloscardovia.omnicolens	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia	Alloscardovia.omnicolens
Blautia.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia.unclassified
Desulfovibrio.piger	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio.piger
Catenisphaera.unclassified	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Catenisphaera	Catenisphaera.unclassified
Brevundimonas.terrae	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas.terrae
Coriobacteriaceae UCG-002.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Coriobacteriaceae UCG-002	Coriobacteriaceae UCG-002.unclassified
Lactococcus.raffinolactis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus.raffinolactis
Prevotellaceae NK3B31 group.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae NK3B31 group	Prevotellaceae NK3B31 group.unclassified
uc_f_Muribaculaceae.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	uc_f_Muribaculaceae	uc_f_Muribaculaceae.unclassified
Enterococcus.gilvus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus.gilvus
Bacteroides.coprophilus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides.coprophilus
Mailhella.unclassified	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Mailhella	Mailhella.unclassified
Anaerovibrio.unclassified	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Anaerovibrio	Anaerovibrio.unclassified
Granulicatella.unclassified	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella.unclassified
Raoultella.ornithinolytica	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella.ornithinolytica
Akkermansia.unclassified	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia.unclassified
Coprococcus.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus.unclassified
Fusobacterium.periodonticum	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium.periodonticum
[Eubacterium] eligens group.eligens	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] eligens group	[Eubacterium] eligens group.eligens
Olsenella.umbonata	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella.umbonata
Lactobacillus.kefiranofaciens	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus.kefiranofaciens
uc_f_Eggerthellaceae.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	uc_f_Eggerthellaceae	uc_f_Eggerthellaceae.unclassified
Gordonibacter.pamelaeae	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Gordonibacter	Gordonibacter.pamelaeae
Bilophila.unclassified	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila.unclassified
Libanicoccus.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Libanicoccus	Libanicoccus.unclassified
Eikenella.corrodens	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Eikenella	Eikenella.corrodens
Rikenella.unclassified	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenella	Rikenella.unclassified
Sporobacter.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Sporobacter	Sporobacter.unclassified
Pediococcus.acidilactici	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus.acidilactici
Peptoniphilus.lacrimalis	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	Peptoniphilus.lacrimalis
Lachnospiraceae UCG-002.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-002	Lachnospiraceae UCG-002.unclassified
Blautia.producta	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia.producta
Tyzzerella.nexilis	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	Tyzzerella.nexilis
Streptococcus.oralis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus.oralis
Lachnoanaerobaculum.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoanaerobaculum	Lachnoanaerobaculum.unclassified
Burkholderia-Caballeronia-Paraburkholderia.pseudomallei	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Burkholderia-Caballeronia-Paraburkholderia.pseudomallei
Peptoniphilus.obesi	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	Peptoniphilus.obesi
Escherichia-Shigella.unclassified	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia-Shigella.unclassified
Dorea.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea.unclassified
[Eubacterium] hallii group.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] hallii group	[Eubacterium] hallii group.unclassified
Phocea.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Phocea	Phocea.unclassified
[Ruminococcus] gnavus group.gnavus	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group	[Ruminococcus] gnavus group.gnavus
Cloacibacillus.porcorum	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	Cloacibacillus.porcorum
Enterobacter.ludwigii	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter.ludwigii
